,species
0,Adelie
1,Adelie
2,Adelie
3,Adelie
4,Adelie
5,Adelie
6,Adelie
7,Adelie
8,Adelie
9,Adelie
10,Adelie
11,Adelie
12,Adelie
13,Adelie
14,Adelie
15,Adelie
16,Adelie
17,Adelie
18,Adelie
19,Adelie
20,Adelie
21,Adelie
22,Adelie
23,Adelie
24,Adelie
25,Adelie
26,Adelie
27,Adelie
28,Adelie
29,Adelie
30,Adelie
31,Adelie
32,Adelie
33,Adelie
34,Adelie
35,Adelie
36,Adelie
37,Adelie
38,Adelie
39,Adelie
40,Adelie
41,Adelie
42,Adelie
43,Adelie
44,Adelie
45,Adelie
46,Adelie
47,Adelie
48,Adelie
49,Adelie
50,Adelie
51,Adelie
52,Adelie
53,Adelie
54,Adelie
55,Adelie
56,Adelie
57,Adelie
58,Adelie
59,Adelie
60,Adelie
61,Adelie
62,Adelie
63,Adelie
64,Adelie
65,Adelie
66,Adelie
67,Adelie
68,Adelie
69,Adelie
70,Adelie
71,Adelie
72,Adelie
73,Adelie
74,Adelie
75,Adelie
76,Adelie
77,Adelie
78,Adelie
79,Adelie
80,Adelie
81,Adelie
82,Adelie
83,Adelie
84,Adelie
85,Adelie
86,Adelie
87,Adelie
88,Adelie
89,Adelie
90,Adelie
91,Adelie
92,Adelie
93,Adelie
94,Adelie
95,Adelie
96,Adelie
97,Adelie
98,Adelie
99,Adelie
100,Adelie
101,Adelie
102,Adelie
103,Adelie
104,Adelie
105,Adelie
106,Adelie
107,Adelie
108,Adelie
109,Adelie
110,Adelie
111,Adelie
112,Adelie
113,Adelie
114,Adelie
115,Adelie
116,Adelie
117,Adelie
118,Adelie
119,Adelie
120,Adelie
121,Adelie
122,Adelie
123,Adelie
124,Adelie
125,Adelie
126,Adelie
127,Adelie
128,Adelie
129,Adelie
130,Adelie
131,Adelie
132,Adelie
133,Adelie
134,Adelie
135,Adelie
136,Adelie
137,Adelie
138,Adelie
139,Adelie
140,Adelie
141,Adelie
142,Adelie
143,Adelie
144,Adelie
145,Adelie
146,Chinstrap
147,Chinstrap
148,Chinstrap
149,Chinstrap
150,Chinstrap
151,Chinstrap
152,Chinstrap
153,Chinstrap
154,Chinstrap
155,Chinstrap
156,Chinstrap
157,Chinstrap
158,Chinstrap
159,Chinstrap
160,Chinstrap
161,Chinstrap
162,Chinstrap
163,Chinstrap
164,Chinstrap
165,Chinstrap
166,Chinstrap
167,Chinstrap
168,Chinstrap
169,Chinstrap
170,Chinstrap
171,Chinstrap
172,Chinstrap
173,Chinstrap
174,Chinstrap
175,Chinstrap
176,Chinstrap
177,Chinstrap
178,Chinstrap
179,Chinstrap
180,Chinstrap
181,Chinstrap
182,Chinstrap
183,Chinstrap
184,Chinstrap
185,Chinstrap
186,Chinstrap
187,Chinstrap
188,Chinstrap
189,Chinstrap
190,Chinstrap
191,Chinstrap
192,Chinstrap
193,Chinstrap
194,Chinstrap
195,Chinstrap
196,Chinstrap
197,Chinstrap
198,Chinstrap
199,Chinstrap
200,Chinstrap
201,Chinstrap
202,Chinstrap
203,Chinstrap
204,Chinstrap
205,Chinstrap
206,Chinstrap
207,Chinstrap
208,Chinstrap
209,Chinstrap
210,Chinstrap
211,Chinstrap
212,Chinstrap
213,Chinstrap
214,Gentoo
215,Gentoo
216,Gentoo
217,Gentoo
218,Gentoo
219,Gentoo
220,Gentoo
221,Gentoo
222,Gentoo
223,Gentoo
224,Gentoo
225,Gentoo
226,Gentoo
227,Gentoo
228,Gentoo
229,Gentoo
230,Gentoo
231,Gentoo
232,Gentoo
233,Gentoo
234,Gentoo
235,Gentoo
236,Gentoo
237,Gentoo
238,Gentoo
239,Gentoo
240,Gentoo
241,Gentoo
242,Gentoo
243,Gentoo
244,Gentoo
245,Gentoo
246,Gentoo
247,Gentoo
248,Gentoo
249,Gentoo
250,Gentoo
251,Gentoo
252,Gentoo
253,Gentoo
254,Gentoo
255,Gentoo
256,Gentoo
257,Gentoo
258,Gentoo
259,Gentoo
260,Gentoo
261,Gentoo
262,Gentoo
263,Gentoo
264,Gentoo
265,Gentoo
266,Gentoo
267,Gentoo
268,Gentoo
269,Gentoo
270,Gentoo
271,Gentoo
272,Gentoo
273,Gentoo
274,Gentoo
275,Gentoo
276,Gentoo
277,Gentoo
278,Gentoo
279,Gentoo
280,Gentoo
281,Gentoo
282,Gentoo
283,Gentoo
284,Gentoo
285,Gentoo
286,Gentoo
287,Gentoo
288,Gentoo
289,Gentoo
290,Gentoo
291,Gentoo
292,Gentoo
293,Gentoo
294,Gentoo
295,Gentoo
296,Gentoo
297,Gentoo
298,Gentoo
299,Gentoo
300,Gentoo
301,Gentoo
302,Gentoo
303,Gentoo
304,Gentoo
305,Gentoo
306,Gentoo
307,Gentoo
308,Gentoo
309,Gentoo
310,Gentoo
311,Gentoo
312,Gentoo
313,Gentoo
314,Gentoo
315,Gentoo
316,Gentoo
317,Gentoo
318,Gentoo
319,Gentoo
320,Gentoo
321,Gentoo
322,Gentoo
323,Gentoo
324,Gentoo
325,Gentoo
326,Gentoo
327,Gentoo
328,Gentoo
329,Gentoo
330,Gentoo
331,Gentoo
332,Gentoo
